year,lizard,order,frequency,rep,date,time,time.class,lat,long,ground,mesohabitat,microhabitat1,microhabitat 2,microhabitat 3 ,behavior,observer,notes,pulseinterval
2018,1,21,151.43,1,5-May,10:10,AM,35.12627,-119.63705,above,open,burrow,mound,,standing,steph eva mario,,
2018,2,26,151.809,1,5-May,10:30,AM,35.12505,-119.6367,below,open,burrow,,,standing,steph eva mario,,
2018,11,22,151.47,1,5-May,10:20,AM,35.1242,-119.63586,above,open,burrow,,,standing,steph eva mario,,
2018,12,15,151.11,1,5-May,9:32,AM,35.12047,-119.63068,above,shrub,burrow,,,standing,steph eva mario,,
2018,20,11,151,1,5-May,9:02,AM,35.11894,-119.62891,above,shrub,shrub canopy,,,emerging,steph eva mario,,
2018,19,13,151.049,1,5-May,9:08,AM,35.11872,-119.62914,above,shrub,shrub canopy,,,basking,steph eva mario,,
2018,1337,29,151.909,2,6-May,12:00,PM,35.12107,-119.62835,above,open,burrow,,,standing,steph eva mario rich,,
2018,4,14,151.089,2,6-May,15:21,PM,35.1209,-119.62515,below,shrub,burrow,,,standing,steph eva mario rich,,
2018,7,23,151.59,2,6-May,17:03,PM,35.1185,-119.62555,below,open,burrow,,,standing,steph eva mario rich,,
2018,12,15,151.11,2,6-May,9:48,AM,35.11847,-119.62919,above,open,burrow,,,standing,steph eva mario rich,,
2018,35,18,151.23,2,6-May,12:51,PM,35.11784,-119.63245,above,open,burrow,,,standing,steph eva mario rich,,
2018,22,27,151.83,2,6-May,12:57,PM,35.11782,-119.63325,above,open,burrow,,,standing,steph eva mario rich,,
2018,30,7,150.77,2,6-May,16:21,PM,35.11741,-119.63319,above,open,burrow,washbank,,standing,steph eva mario rich,,
2018,44,6,150.75,2,6-May,15:40,PM,35.11734,-119.62766,above,open,burrow,,,standing,steph eva mario rich,,
2018,64,8,150.79,2,6-May,11:35,AM,35.11715,-119.62742,above,open,burrow,,,standing,steph eva mario rich,,
2018,39,28,151.849,2,6-May,11:20,AM,35.11648,-119.6261,above,open,burrow,,,standing,steph eva mario rich,,
2018,11,22,151.47,2,6-May,9:28,AM,35.1239,-119.63592,below,open,open,,,standing,steph eva mario rich,,
2018,31,5,150.669,2,6-May,15:15,PM,35.12041,-119.62541,below,open,open,,,standing,steph eva mario rich,,
2018,20,11,151,2,6-May,10:46,AM,35.11953,-119.6289,above,open,open,,,basking,steph eva mario rich,,
2018,100,1,150.549,2,6-May,15:34,PM,35.11812,-119.62665,below,open,open,,,standing,steph eva mario rich,Lizard 130 had invalid as well On may 6th,
2018,91,20,151.37,2,6-May,14:50,PM,35.11779,-119.62448,below,open,open,,,standing,steph eva mario rich,,
2018,93,19,151.29,2,6-May,17:37,PM,35.11691,-119.62555,below,open,open,,,standing,steph eva mario rich,,
2018,99,3,150.609,2,6-May,13:59,PM,35.11526,-119.62473,below,open,open,,,standing,steph eva mario rich,,
2018,80,4,150.63,2,6-May,14:07,PM,35.11502,-119.62455,above,open,open,,,standing,steph eva mario rich,,
2018,130,30,151.91,2,6-May,17:23,PM,35.12079,-119.62849,above,shrub,shrub canopy,,,standing,steph eva mario rich,,
2018,19,13,151.049,2,6-May,10:37,AM,35.11985,-119.62864,above,shrub,shrub canopy,,,standing,steph eva mario rich,,
2018,9,2,150.57,2,6-May,16:07,PM,35.11647,-119.62562,above,shrub,shrub canopy,,,standing,steph eva mario rich,,
2018,176,12,151.029,2,6-May,16:13,PM,35.11634,-119.63602,above,shrub,shrub canopy,,,standing,steph eva mario rich,,
2018,13,24,151.61,2,6-May,14:14,PM,35.11528,-119.62378,above,shrub,shrub canopy,,,standing,steph eva mario rich,Lizard 64 and 93 coordinates are not valid,
2018,47,25,151.649,2,6-May,12:02,PM,35.12059,-119.62858,above,open,shrub canopy,,,standing,steph eva mario rich,,
2018,56,9,150.81,2,6-May,13:02,PM,35.11713,-119.63454,above,open,shrub canopy,,,standing,steph eva mario rich,,
2018,40,17,151.209,2,6-May,13:24,PM,35.11188,-119.633,above,shrub,shrub canopy,washbank,,standing,steph eva mario rich,,
2018,1,21,151.43,2,6-May,9:07,AM,35.12658,-119.63655,below,open,washbank,,,standing,steph eva mario rich,,
2018,2,26,151.809,2,6-May,9:21,AM,35.12495,-119.63647,below,open,washbank,,,standing,steph eva mario rich,,
2018,200,10,150.83,2,6-May,12:43,PM,35.11884,-119.63136,above,shrub,washbank,,,standing,steph eva mario rich,,
